#,Layer,File,Line/Function,Hardcoded Value,Category,Why Dangerous,Current Impact,Layers Affected,Recommendation,Why Needed
16,Frontend,useAIModels.ts,79,CACHE_DURATION_MS = 5 * 60 * 1000,🟢 CAT 6: Cache Duration,Duplicate of #14,Inconsistency risk,L2,Consolidate with #14 in system_config,Prevents cache duration inconsistencies between hooks
17,Frontend,proxy-client.ts,9,'http://localhost:3002' fallback,🟢 CAT 11: Server Config,Dev URL in production code,Works but not ideal,"L3, L4",Use import.meta.env.VITE_BACKEND_URL (already done),Environment variables separate config from code
18,Frontend,proxy-client.ts,"66, 82, 120, 136",temperature ?? 0.7,🟡 CAT 10: Temperature,Repeated default,Should be centralized,"L3, L4, L7",Create getDefaultTemperature(provider) helper,Centralization prevents inconsistent defaults across clients
19,Frontend,proxy-client.ts,"66, 83, 120, 137",max_tokens || 4000,🔴 CAT 1: Token Limits,Arbitrary fallback,May truncate responses,"L3, L4",Use getProviderMaxOutput() helper,Arbitrary fallbacks cause response truncation
20,Frontend,balance-tracker.ts,23,'http://localhost:3001/api',🟢 CAT 11: Server Config,Hardcoded dev URL,Breaks in production,L3,Use import.meta.env.VITE_BALANCE_API_URL,Environment variables required for production deployments
21,Frontend,balance-tracker.ts,28,CACHE_TTL = 5000,🟢 CAT 6: Cache Duration,5 second cache,May cause stale data,L3,Move to system_config.balance_cache_ttl_ms,Cache TTL should be tunable based on balance update frequency
22,Frontend,error-recovery-engine.ts,378,15 * 60 * 1000 (15 min throttle),🟢 CAT 7: API Config,Throttle duration,May be too long,"L3, L5",Move to system_config.throttle_duration_ms,Throttle duration needs tuning based on rate limit patterns
23,Frontend,error-recovery-engine.ts,385,"setTimeout(resolve, 5000)",🟢 CAT 7: API Config,5 second wait,Arbitrary delay,L3,Move to system_config.error_recovery_wait_ms,Recovery delays should be configurable
24,Frontend,request-throttler.ts,50,1000 (1 second window),🟢 CAT 7: API Config,Rate limit window,Should be configurable,"L3, L5",Move to system_config.rate_limit_window_ms,Rate limit windows need tuning per provider
25,Frontend,request-throttler.ts,65,15 * 60 * 1000 default,🟢 CAT 7: API Config,Throttle duration,Duplicate of #22,"L3, L5",Consolidate with #22 in system_config,Prevents throttle duration inconsistencies
26,Frontend,streaming-client.ts,"54, 76, 93, 120",temperature || 0.7,🟡 CAT 10: Temperature,Repeated default,Should be centralized,"L3, L4, L7",Use centralized getDefaultTemperature() helper,Centralization prevents inconsistent defaults
27,Frontend,universal-ai-client.ts,"96, 144, 184, 238",temperature || 0.7,🟡 CAT 10: Temperature,Repeated default,Should be centralized,"L3, L4, L7",Use centralized getDefaultTemperature() helper,Centralization prevents inconsistent defaults
28,Frontend,claude-client.ts,49,temperature || 0.7,🟡 CAT 10: Temperature,Repeated default,Should be centralized,"L3, L4, L7",Use centralized getDefaultTemperature() helper,Centralization prevents inconsistent defaults
29,Frontend,super-debug-bus.ts,1151,> 10000 (display truncation),🟢 CAT 5: UI Thresholds,Display limit,May hide important data,"L1, L3",Move to system_config.debug_display_max_chars,Debug display limits should be tunable
30,Frontend,super-debug-bus.ts,1210,> 5000 (response truncation),🟢 CAT 5: UI Thresholds,Display limit,May hide important data,"L1, L3",Move to system_config.debug_response_max_chars,Debug display limits should be tunable
31,Frontend,FileUploadZone.tsx,"178, 600",'http://localhost:3005',🟢 CAT 11: Server Config,Echo Intelligence URL,Hardcoded dev URL,"L1, L3, L7",Use import.meta.env.VITE_ECHO_INTELLIGENCE_URL,Environment variables required for feature URLs
32,Frontend,HubSpotModal.tsx,"128, 150",'http://localhost:3002/api/hubspot/...',🟢 CAT 12: HubSpot,Hardcoded API URLs,Breaks in production,"L1, L3, L4, L7",Use import.meta.env.VITE_BACKEND_URL,Environment variables required for production
33,Frontend,HubSpotSendButton.tsx,43,'http://localhost:3002/api/hubspot/...',🟢 CAT 12: HubSpot,Hardcoded API URL,Breaks in production,"L1, L3, L4, L7",Use import.meta.env.VITE_BACKEND_URL,Environment variables required for production
34,Frontend,CreditPricingPanel.tsx,84,PROFIT_MARKUP = 0.30,🟡 CAT 2: Pricing,Business-critical markup,Should be in DB,"L1, L3, L6",Move to system_config.profit_markup_percentage,Business markup must be configurable without code changes
35,Frontend,CreditPricingPanel.tsx,87,CREDITS_PER_USD = 100,🟡 CAT 2: Pricing,Exchange rate,Should be in DB,"L1, L3, L6",Move to system_config.credits_per_usd,Exchange rates need tuning for different markets
36,Frontend,core/constants.ts,186-251,BASE_PRICING object,🟡 CAT 2: Pricing,Duplicate of OneMindAI.tsx,Two sources of truth,"L2, L6","Remove entirely, use useAIModels() only",Eliminates pricing duplication and inconsistency
37,Frontend,core/constants.ts,33-180,SEEDED_ENGINES array,🟢 CAT 9: Default Models,Engine definitions,Acceptable for bootstrap,L2,Keep as-is (bootstrap data),Bootstrap data is necessary for initial app load
38,Frontend,config/constants.ts,40-64,TOKENIZER_CONFIG,🟢 CAT 4: Token Estimation,Tokenizer ratios,"Empirically derived, OK",L3,Keep as-is (empirical constants),"Tokenizer ratios are mathematical constants, not configuration"
39,Frontend,Various,Multiple,"setTimeout(..., 3000)",🟢 CAT 5: UI Thresholds,UI feedback delays,Low impact,L1,Keep as-is (low impact),UI feedback delays are acceptable hardcoded values
40,Frontend,Various,Multiple,"setTimeout(..., 5000)",🟢 CAT 5: UI Thresholds,Warning auto-clear,Low impact,L1,Keep as-is (low impact),Warning auto-clear delays are acceptable hardcoded values
41,Backend,ai-proxy.cjs,25,CACHE_TTL = 5 * 60 * 1000,🟢 CAT 6: Cache Duration,Provider config cache,Should match frontend,"L4, L5",Consolidate with frontend cache duration in system_config,Backend/frontend cache durations must be synchronized
42,Backend,ai-proxy.cjs,46,PORT = 3002,🟢 CAT 11: Server Config,Server port,Uses env var with fallback,"L4, L5",Keep as-is (env var with fallback),Environment variable fallback is acceptable pattern
43,Backend,ai-proxy.cjs,153,expires_in - 60 (60s buffer),🟢 CAT 7: API Config,Token refresh buffer,Magic number,"L4, L7",Move to system_config.token_refresh_buffer_seconds,Token refresh buffer should be tunable
44,Backend,ai-proxy.cjs,908,8192 fallback for anthropic,🔴 CAT 1: Token Limits,Fallback limit,May not match admin setting,"L4, L5, L6, L7",Fetch from provider_config.max_output_cap with fallback,Backend must respect admin-configured token limits
45,Backend,ai-proxy.cjs,1017,8192 fallback for gemini,🔴 CAT 1: Token Limits,Fallback limit,May not match admin setting,"L4, L5, L6, L7",Fetch from provider_config.max_output_cap with fallback,Backend must respect admin-configured token limits
46,Backend,ai-proxy.cjs,1019,temperature: 0.7,🟡 CAT 10: Temperature,Default temperature,Not configurable,"L4, L5, L7",Add default_temperature to provider_config,Backend temperature must match frontend configuration
47,Backend,ai-proxy-improved.cjs,26,PORT = 3002,🟢 CAT 11: Server Config,Server port,Uses env var,"L4, L5",Keep as-is (env var),Environment variable is acceptable pattern
48,Backend,ai-proxy-improved.cjs,38,RATE_LIMIT_WINDOW_MS = 60 * 1000,🟢 CAT 7: API Config,Rate limit window,Uses env var,L5,Keep as-is (env var),Environment variable is acceptable pattern
49,Backend,ai-proxy-improved.cjs,39,RATE_LIMIT_MAX = 60,🟢 CAT 7: API Config,Rate limit max,Uses env var,L5,Keep as-is (env var),Environment variable is acceptable pattern
50,Backend,code-guardian/llm-judge.cjs,144,maxContentLength = 8000,🟢 CAT 3: Prompt Limits,Content truncation,Code Guardian specific,"L4, L5",Keep as-is (Code Guardian specific),Code Guardian has independent configuration needs
51,Backend,code-guardian/llm-judge.cjs,"190, 246",temperature: 0.3,🟡 CAT 10: Temperature,Lower temp for judging,Intentional for consistency,"L4, L7",Keep as-is (intentional for consistency),Lower temperature is intentional for code judgment
52,Backend,code-guardian/index.cjs,36,PORT = 4000,🟢 CAT 11: Server Config,Code Guardian port,Uses env var,"L4, L5",Keep as-is (env var),Environment variable is acceptable pattern
53,Backend,code-guardian/index.cjs,338,count = 100 default,🟢 CAT 7: API Config,Default query param,Low impact,L4,Keep as-is (low impact),Default query parameter is acceptable
54,Backend,balance-api.cjs,14,PORT = 3001,🟢 CAT 11: Server Config,Balance API port,Should use env var,"L4, L5",Add env var BALANCE_API_PORT with fallback,Environment variable required for production flexibility
55,Backend,server-monitor.cjs,43,RESTART_WINDOW = 60000,🟢 CAT 7: API Config,Restart window,Should be configurable,L5,Add env var RESTART_WINDOW_MS with fallback,Restart window should be tunable per deployment
